text,label,source,domain,split
slide giáo trình đầy đủ .,positive,UIT-VSFC,education,train
"nhiệt tình giảng dạy , gần gũi với sinh viên .",positive,UIT-VSFC,education,train
đi học đầy đủ full điểm chuyên cần .,negative,UIT-VSFC,education,train
chưa áp dụng công nghệ thông tin và các thiết bị hỗ trợ cho việc giảng dạy .,negative,UIT-VSFC,education,train
"thầy giảng bài hay , có nhiều bài tập ví dụ ngay trên lớp .",positive,UIT-VSFC,education,train
"giảng viên đảm bảo thời gian lên lớp , tích cực trả lời câu hỏi của sinh viên , thường xuyên đặt câu hỏi cho sinh viên .",positive,UIT-VSFC,education,train
"em sẽ nợ môn này , nhưng em sẽ học lại ở các học kỳ kế tiếp .",neutral,UIT-VSFC,education,train
"thời lượng học quá dài , không đảm bảo tiếp thu hiệu quả .",negative,UIT-VSFC,education,train
"nội dung môn học có phần thiếu trọng tâm , hầu như là chung chung , khái quát khiến sinh viên rất khó nắm được nội dung môn học .",negative,UIT-VSFC,education,train
cần nói rõ hơn bằng cách trình bày lên bảng thay vì nhìn vào slide .,negative,UIT-VSFC,education,train
thầy rất tận tình và đi dạy rất đúng giờ .,positive,UIT-VSFC,education,train
dễ bị áp lực .,negative,UIT-VSFC,education,train
"đang dạy thầy wzjwz208 đi qua nước ngoài giữa chừng , thầy wzjwz209 dạy thay .",neutral,UIT-VSFC,education,train
môn học còn dễ cần nâng độ khó lên nữa .,negative,UIT-VSFC,education,train
"có thể cho sinh viên đi thăm quan nhiều công ty xem quy mô và cách làm việc , để giúp hiểu rõ hơn vê ngành mình đang học .",negative,UIT-VSFC,education,train
hài lòng về tất cả .,positive,UIT-VSFC,education,train
"nhiệt tình , vui vẻ .",positive,UIT-VSFC,education,train
thấy nhiệt tình trong việc trao đổi giúp đỡ về học tập .,positive,UIT-VSFC,education,train
phong cách giảng bài của thầy rất gần gũi với sinh viên !,positive,UIT-VSFC,education,train
giảng dạy kết hợp các hoạt động giải trí có hiệu quả .,positive,UIT-VSFC,education,train
cần tạo các buổi seminar để sinh viên có thể hiểu sâu thêm về các vấn đề trong chuyên ngành nhưng không có trong môn học .,negative,UIT-VSFC,education,train
tiết học thoải mái .,positive,UIT-VSFC,education,train
"thầy nhiệt tình , quan tâm tới sinh viên .",positive,UIT-VSFC,education,train
"giảng dạy nhiệt tình , hướng dẫn chi tiết đến lúc sinh viên hiểu !",positive,UIT-VSFC,education,train
"chưa có nhiều tiết làm bài tập , chữa bài tập trên lớp .",negative,UIT-VSFC,education,train
tài liệu được bổ sung nhiều và đầy đủ trên moodle .,positive,UIT-VSFC,education,train
giảng viên phải nên cho ví dụ cụ thể những phần quan trọng nên nói kỹ có thể lấy ví dụ minh họa tránh việc lập đi lập lại nhiều lần sẽ tạo cảm giác chán cho sinh viên .,negative,UIT-VSFC,education,train
nên biên soạn một tài liệu của chính trường ta .,negative,UIT-VSFC,education,train
không giúp đỡ sinh viên trong những vấn đề xung quanh .,negative,UIT-VSFC,education,train
"bài tập đa dạng , cụ thể .",positive,UIT-VSFC,education,train
"nội dung giảng viên yêu câu seminar hầu như không có tài liệu tham khảo và rất ít ứng dụng trong thực tế , đề nghị có sự thay đổi trong những năm học tới .",negative,UIT-VSFC,education,train
slide up đầy đủ trước mỗi buổi học .,positive,UIT-VSFC,education,train
